S0101_dict_frame.mat	(0.0089,0.0297,-0.0241)	(0.0196,0.0002,-0.0095)	(0.0097,0.0549,0.3697,-0.9275)	(0.3428,0.8867,0.3098,-0.0168)
S0102_dict_frame.mat	(0.0295,-0.0197,-0.0208)	(0.0212,-0.0208,-0.0240)	(0.8296,0.5294,0.0513,-0.1701)	(0.7411,-0.6606,0.1197,-0.0037)
S0103_dict_frame.mat	(0.0162,-0.0212,-0.0258)	(0.0021,-0.0204,-0.0305)	(0.0005,-0.3946,-0.3943,-0.8300)	(0.9151,0.3016,0.2674,-0.0071)
S0104_dict_frame.mat	(0.0136,-0.0239,-0.0179)	(0.0226,-0.0383,-0.0335)	(0.0001,0.4177,-0.4657,-0.7801)	(0.3319,-0.0784,0.9399,0.0162)
S0105_dict_frame.mat	(NaN,NaN,NaN)	(NaN,NaN,NaN)	(NaN,NaN,NaN,NaN)	(NaN,NaN,NaN,NaN)
S0106_01_dict_frame.mat	(0.0170,-0.0137,-0.0156)	(0.0193,0.0008,-0.0060)	(0.0003,0.3863,0.6180,-0.6847)	(0.7113,-0.5296,-0.4612,0.0296)
S0107_dict_frame.mat	(-0.0068,-0.0194,-0.0205)	(0.0101,-0.0313,-0.0294)	(0.0000,0.3893,-0.5126,-0.7653)	(0.7228,-0.5912,-0.3285,-0.1415)
S0108_dict_frame.mat	(0.0032,-0.0214,-0.0298)	(-0.0034,-0.0169,-0.0433)	(0.7871,0.3031,-0.1331,-0.5205)	(0.7917,0.2015,-0.5654,-0.1133)
S0109_01_dict_frame.mat	(0.0012,0.0016,-0.0287)	(0.0111,0.0190,-0.0212)	(0.0012,0.0306,-0.6071,-0.7940)	(0.6298,0.7749,0.0547,0.0008)
S0110_01_dict_frame.mat	(0.0507,0.0293,0.0689)	(0.0748,0.0170,0.0212)	(0.0000,-0.1964,-0.1154,-0.9737)	(0.8752,0.1877,0.4459,-0.0014)
S0110_dict_frame.mat	(0.0507,0.0293,0.0689)	(0.0748,0.0170,0.0212)	(0.0000,-0.1964,-0.1154,-0.9737)	(0.8752,0.1877,0.4459,-0.0014)
S0111_dict_frame.mat	(-0.0033,-0.0403,-0.0376)	(0.0117,-0.0134,-0.0396)	(0.0006,-0.2779,0.6819,-0.6766)	(0.8662,-0.4647,0.1830,-0.0160)
S0112_dict_frame.mat	(0.0026,-0.0132,-0.0233)	(0.0101,-0.0305,-0.0292)	(0.0000,0.5257,0.1423,-0.8387)	(0.6323,-0.6663,0.3868,0.0814)
S0113_dict_frame.mat	(0.0114,-0.0304,-0.0160)	(-0.0041,-0.0336,-0.0465)	(0.0008,0.2545,0.1452,-0.9561)	(0.8266,-0.2927,0.4546,-0.1561)
S0114_dict_frame.mat	(0.0086,-0.0370,-0.0309)	(0.0092,0.0155,-0.0284)	(0.0006,-0.0899,0.5183,-0.8505)	(0.3202,0.8658,0.3835,-0.0264)
S0115_dict_frame.mat	(-0.0001,-0.0141,-0.0219)	(0.0060,-0.0195,-0.0261)	(0.0002,-0.6074,0.3460,-0.7151)	(0.9137,-0.1191,0.3828,-0.0665)
S0116_dict_frame.mat	(0.0073,-0.0279,-0.0345)	(0.0030,-0.0042,-0.0185)	(0.0004,-0.3443,-0.2667,-0.9002)	(0.8458,0.3968,0.3530,-0.0503)
S0117_dict_frame.mat	(-0.0073,-0.0473,-0.0260)	(0.0075,-0.0199,-0.0182)	(0.0001,-0.7234,0.4165,-0.5506)	(-0.0807,-0.9845,-0.0671,-0.1404)
S0119_dict_frame.mat	(0.0078,-0.0430,-0.0245)	(-0.0012,-0.0091,-0.0443)	(0.3281,0.1041,0.9183,-0.1956)	(0.8026,0.4769,-0.3578,0.0188)
S0120_dict_frame.mat	(0.0152,-0.0123,-0.0146)	(-0.0169,-0.0454,-0.0463)	(0.0000,0.5005,-0.2798,-0.8193)	(0.3564,-0.0406,0.9237,-0.1344)
S0121_dict_frame.mat	(0.0003,-0.0378,-0.0314)	(0.0055,-0.0186,-0.0168)	(0.0000,-0.0976,0.0754,-0.9924)	(0.3441,0.6577,-0.3268,0.5850)
S0122_dict_frame.mat	(0.0111,-0.0102,-0.0187)	(0.0106,-0.0348,-0.0409)	(0.0001,0.3915,0.0792,-0.9168)	(0.6213,-0.7693,0.1423,0.0436)
S0123_dict_frame.mat	(0.0186,-0.0259,-0.0297)	(0.0077,-0.0305,-0.0229)	(0.0005,0.6137,0.1608,-0.7730)	(0.7599,-0.0172,0.6485,0.0406)
S0124_dict_frame.mat	(0.0171,-0.0293,-0.0300)	(0.0129,0.0071,-0.0252)	(0.0003,0.0283,0.5690,-0.8219)	(0.6421,-0.7355,-0.2008,-0.0804)
S0125_dict_frame.mat	(0.0126,-0.0116,-0.0088)	(0.0005,-0.0159,-0.0243)	(0.0012,0.3215,-0.0428,-0.9459)	(0.5796,-0.7177,0.3643,0.1277)
S0126_dict_frame.mat	(NaN,NaN,NaN)	(NaN,NaN,NaN)	(NaN,NaN,NaN,NaN)	(NaN,NaN,NaN,NaN)
S0127_dict_frame.mat	(0.0130,-0.0201,-0.0281)	(0.0002,-0.0187,-0.0405)	(0.0001,-0.7518,0.5398,-0.3787)	(0.9045,-0.3163,0.2690,-0.0973)
S0128_dict_frame.mat	(-0.0065,-0.0301,-0.0201)	(0.0033,-0.0338,-0.0247)	(0.0009,-0.5492,0.6113,-0.5697)	(0.8864,-0.3930,-0.2431,0.0270)
S0129_dict_frame.mat	(0.0104,-0.0403,-0.0229)	(0.0137,-0.0334,-0.0380)	(0.0016,-0.1967,0.3618,-0.9113)	(0.7548,-0.6532,-0.0590,-0.0087)
S0130_dict_frame.mat	(-0.0012,-0.0465,-0.0365)	(-0.0026,-0.0112,-0.0514)	(0.0002,-0.9099,0.3640,-0.1991)	(0.9804,-0.1239,0.1411,-0.0595)
S0131_dict_frame.mat	(0.0126,-0.0223,-0.0300)	(0.0096,-0.0026,-0.0616)	(0.0006,0.3827,-0.0528,-0.9224)	(0.8488,-0.1102,-0.5009,-0.1283)
